id,Regioviz_item,Theme,Name,Unit,id1,id2,Formula,Year,Data_source,Last_update,Methodology,Methodology.1,URL
TXEMP,Indicateur,Structures économiques,Taux d'emploi (25-64 ans),%,EMP_2564,ACT_2564,id1/id2*100,2016.0,"Eurostat - Enquête sur les forces de travail
(Tables lfst_r_lfe2emprt et lfst_r_lfe2emp) ",2017-09-14,Le taux d?’emploi est le rapport entre le nombre de personnes occupées âgées de 25 à 64 ans et le total de la population âgée de 25 à 64 ans. Le taux d’?emploi global se calcule par rapport à la population en âge de travailler. ,Le taux d’emploi est le rapport entre le nombre de personnes occupées âgées de 25 à 64 ans et le total de la population âgée de 25 à 64 ans.,
EMPTERT,Indicateur,Structures économiques,Emploi tertiaire,%,EMP_TERTOT,EMP_TOTAL,id1/id2*100,2015.0,"Eurostat - Enquête sur les forces de travail
(Table nama_10r_3empers)",2017-09-14,"Le taux d'emploi dans le secteur tertiaire est le rapport entre le nombre d'emplois dans le secteur tertiaire et l'emploi total. L'emploi dans les secteurs tertiaires comprend les secteurs suivants :
- Commerce, transport, hébergement et activités de restauration (G-I dans la classification NACE R2);
-  Information et communication (J);
- Activités financières et d'assurance; activités immobilières; activités spécialisées, scientifiques et techniques; activités de services administratifs et de soutien (K-N);
- Administration publique, défense, éducation, santé humaine et action sociale (O-Q);
-  Arts, spectacles et activités récréatives; autres activités de services; activités des ménages et extra-territoriales (R-U)
 La source primaire de cette information est la Labour Force Survey.","Le taux d'emploi dans le secteur tertiaire est le rapport entre le nombre d'emplois dans le secteur tertiaire et l'emploi total. L'emploi dans les secteurs tertiaires comprend les secteurs suivants :
- Commerce, transport, hébergement et activités de restauration (G-I dans la Nomenclature des Activités Économiques européennes R2);
-  Information et communication (J);
- Activités financières et d'assurance; activités immobilières; activités spécialisées, scientifiques et techniques; activités de services administratifs et de soutien (K-N);
- Administration publique, défense, éducation, santé humaine et action sociale (O-Q);
-  Arts, spectacles et activités récréatives; autres activités de services; activités des ménages et extra-territoriales (R-U)",
VATERT,Indicateur,Structures économiques,Richesse produite dans le tertiaire,%,VA_TERTOT,VA_TOTAL,id1/id2*100,2013.0,"Eurostat - Système européen des comptes (SEC 2010)
(Table nama_10r_3gva)",2017-04-12,"La richesse produite dans le secteur tertiaire est le rapport entre la valeur ajoutée de la production du sectaire tertiaire et la valeur ajoutée de la production totale. Le tertiaire comprend les secteurs suivants :
- Commerce, transport, hébergement et activités de restauration (G-I dans la classification NACE R2);
-  Information et communication (J);
- Activités financières et d'assurance; activités immobilières; activités spécialisées, scientifiques et techniques; activités de services administratifs et de soutien (K-N);
- Administration publique, défense, éducation, santé humaine et action sociale (O-Q);
-  Arts, spectacles et activités récréatives; autres activités de services; activités des ménages et extra-territoriales (R-U)
La valeur ajoutée brute (VAB) aux prix du marché correspond à la valeur de la production aux prix du marché diminuée de celle de la consommation intermédiaire aux prix d?acquisition. C?est un solde du compte de production en comptabilité nationale.","La richesse produite dans le secteur tertiaire est le rapport entre la valeur ajoutée de la production du sectaire tertiaire et la valeur ajoutée de la production totale. Le tertiaire comprend les secteurs suivants :
- Commerce, transport, hébergement et activités de restauration (G-I dans la Nomencature des Activités Économiques européennes R2);
-  Information et communication (J);
- Activités financières et d'assurance; activités immobilières; activités spécialisées, scientifiques et techniques; activités de services administratifs et de soutien (K-N);
- Administration publique, défense, éducation, santé humaine et action sociale (O-Q);
-  Arts, spectacles et activités récréatives; autres activités de services; activités des ménages et extra-territoriales (R-U)
La valeur ajoutée brute (VAB) aux prix du marché correspond à la valeur de la production aux prix du marché diminuée de celle de la consommation intermédiaire aux prix d'acquisition. C'est un solde du compte de production en comptabilité nationale.",
EMPADM,Indicateur,Structures économiques,Emplois de reproduction sociale,%,EMP_ADM,EMP_TOTAL,id1/id2*100,2015.0,"Eurostat - Enquête sur les forces de travail
(Table nama_10r_3empers)",2017-09-14,"La part d'emploi de reproduction sociale correspond au rapport entre le nombre d'emplois dans l'administration publique, la défense, l'éducation,  la santé humaine et l’action sociale (secteurs O-Q de la NACE R2) et l'emploi total. 
 La source primaire de cette information est la Labour Force Survey.","La part d'emploi de reproduction sociale correspond au rapport entre le nombre d'emplois dans l'administration publique, la défense, l'éducation, la santé humaine et l’action sociale (secteurs O-Q de la Nomenclature des Activités Économiques européennes R2) et l'emploi total. ",
EMPHTEC,Indicateur,Structures économiques,Emploi dans le secteur des hautes technologies,%,EMP_HTEC,EMP_T_HTEC,id1/id2*100,2015.0,"Eurostat - Enquête sur les forces de travail et statistiques structurelles sur les entreprises
(Table htec_emp_reg2)",2017-09-14,"La part de l'emploi dans le secteur des hautes technologies est le rapport entre le nombre d'emploi dans le secteur des hautes technologies et l'emploi total. Les secteurs de haute technologie incluent les industries manufacturières de haute technologie et les services à forte intensité de connaissances, qui se définissent en fonction de l’?intensité technologique et sur la base de la nomenclature des activités NACE. Il convient de souligner que les statistiques sur l?’emploi dans les secteurs de haute technologie portent sur l’?ensemble des personnes (y compris le personnel auxiliaire) qui travaillent dans ces entreprises et font gonfler de ce fait le nombre d?’employés hautement qualifiés.
La distinction entre l’?industrie manufacturière et les services est établie en raison de l?’existence de deux méthodologies différentes. Alors que l’?intensité de la R & D est utilisée pour distinguer les industries manufacturières de haute, moyenne-haute, moyenne-basse et basse technologie, la part de la population active ayant terminé l?’enseignement supérieur est utilisée pour les services afin d?opérer une distinction entre les services à forte intensité de connaissances et ceux à faible intensité de connaissances.
L’?industrie manufacturière de haute technologie comprend la fabrication de produits et de préparations pharmaceutiques de base, de produits informatiques, électroniques et optiques, ainsi que la construction aéronautique et spatiale.
Les services de haute technologie à forte intensité de connaissances comprennent la production de films, de vidéos et de programmes de télévision, les activités d’?enregistrement sonore et d?’édition musicale, la programmation et la diffusion, les télécommunications, la programmation informatique, la consultance et les activités annexes, les services d?’information et les services de recherche et développement.","La part de l'emploi dans le secteur des hautes technologies est le rapport entre le nombre d'emploi dans le secteur des hautes technologies et l'emploi total. Les secteurs de haute technologie incluent les industries manufacturières de haute technologie et les services à forte intensité de connaissances, qui se définissent en fonction de l’intensité technologique et sur la base de la nomenclature des activités NACE. Il convient de souligner que les statistiques sur l’emploi dans les secteurs de haute technologie portent sur l’ensemble des personnes (y compris le personnel auxiliaire) qui travaillent dans ces entreprises et font gonfler de ce fait le nombre d’employés hautement qualifiés.
La distinction entre l’industrie manufacturière et les services est établie en raison de l’existence de deux méthodologies différentes. Alors que l’intensité de la R & D est utilisée pour distinguer les industries manufacturières de haute, moyenne-haute, moyenne-basse et basse technologie, la part de la population active ayant terminé l’enseignement supérieur est utilisée pour les services afin dopérer une distinction entre les services à forte intensité de connaissances et ceux à faible intensité de connaissances.
L’industrie manufacturière de haute technologie comprend la fabrication de produits et de préparations pharmaceutiques de base, de produits informatiques, électroniques et optiques, ainsi que la construction aéronautique et spatiale.
Les services de haute technologie à forte intensité de connaissances comprennent la production de films, de vidéos et de programmes de télévision, les activités d’enregistrement sonore et d’édition musicale, la programmation et la diffusion, les télécommunications, la programmation informatique, la consultance et les activités annexes, les services d’information et les services de recherche et développement.",
BREVH,Indicateur,Structures économiques,Productions innovantes (brevets),Brevets par million d'habitants,BREV,BREV_POP,id1/id2,2012.0,"Eurostat - Office européen des brevets
(Table pat_ep_rtot) ",2016-04-29,"Les productions innovantes correspondent au nombre de brevets déposés par million d'habitants. Un brevet est un droit de propriété intellectuelle qui confère à son titulaire le droit exclusif d?’utiliser son invention dans un domaine technique particulier, pendant un nombre d?’années limité.
Une demande de brevet doit se fonder sur une nouvelle solution à un problème technique qui répond à trois critères: la nouveauté, l?’inventivité et l?’applicabilité industrielle. Un brevet peut être accordé à une entreprise, à un organisme public ou à un particulier. Les brevets sont valables pour un pays ou une région donnée pendant une période limitée.
Les statistiques régionales sur les demandes de brevets déposées auprès de l’?OEB s’?appuient sur des informations tirées des adresses des inventeurs, qui ne correspondent pas toujours aux lieux (régions) d’?invention, puisque les inventeurs ne vivent pas nécessairement dans la même région que celle dans laquelle ils travaillent. L?’incidence de cette différence est probablement plus marquée si des unités géographiques plus petites sont utilisées.
Il convient d?interpréter ces données avec prudence, étant donné que toutes les inventions ne sont pas brevetées et que la propension à déposer des brevets varie selon les secteurs et les entreprises. Par ailleurs, la valeur technique et économique des inventions brevetées est variable.","Brevets déposé par million d'habitants. Un brevet est un droit de propriété intellectuelle qui confère à son titulaire le droit exclusif d’utiliser son invention dans un domaine technique particulier, pendant un nombre d’années limité.
Une demande de brevet doit se fonder sur une nouvelle solution à un problème technique qui répond à trois critères: la nouveauté, l’inventivité et l’applicabilité industrielle. Un brevet peut être accordé à une entreprise, à un organisme public ou à un particulier. Les brevets sont valables pour un pays ou une région donnée pendant une période limitée.
Les statistiques régionales sur les demandes de brevets déposées auprès de l’OEB s’appuient sur des informations tirées des adresses des inventeurs, qui ne correspondent pas toujours aux lieux (régions) d’invention, puisque les inventeurs ne vivent pas nécessairement dans la même région que celle dans laquelle ils travaillent. L’incidence de cette différence est probablement plus marquée si des unités géographiques plus petites sont utilisées.
Il convient dinterpréter ces données avec prudence, étant donné que toutes les inventions ne sont pas brevetées et que la propension à déposer des brevets varie selon les secteurs et les entreprises. Par ailleurs, la valeur technique et économique des inventions brevetées est variable.",
EMPRD,Indicateur,Structures économiques,Emploi en R&D,%,RD_EMP,POP_RD_EMP,id1/id2*100,2013.0,"Eurostat
(Table rd_p_persreg)",2017-02-03,"La part de l'emploi en Recherche et Développement est le rapport entre le personnel de recherche et développement et l'emploi total. On entend par personnel de recherche et développement (R & D) l?ensemble des individus occupés directement dans le secteur de la recherche et du développement, y compris ceux qui fournissent des services directs (gestionnaires, administrateurs et personnel administratif, notamment).
Les statistiques concernant le personnel de R & D sont établies sur la base de la sixième édition des lignes directrices du manuel de Frascati, publié en 2002 par l?OCDE. Pour les besoins statistiques, les indicateurs sur le personnel de R & D sont établis tant en effectifs qu?en équivalents temps plein (ETP).","La part de l'emploi en Recherche et Développement est le rapport entre le personnel de recherche et développement et l'emploi total. On entend par personnel de recherche et développement (R & D) l'ensemble des individus occupés directement dans le secteur de la recherche et du développement, y compris ceux qui fournissent des services directs (gestionnaires, administrateurs et personnel administratif, notamment).
Les statistiques concernant le personnel de R & D sont établies sur la base de la sixième édition des lignes directrices du manuel de Frascati, publié en 2002 par l'OCDE.",
DEPRD,Indicateur,Structures économiques,Dépenses de R&D par habitant,Millions d'euros par habitant,RD_DEP,POP_RD_DEP,id1/id2,2013.0,"Eurostat
(Table rd_e_gerdreg)",2017-02-03,"La recherche et le développement, abrégée R&D, comprend les travaux de création entrepris sur une base systématique en vue d'accroître la somme des connaissances (y compris celles de l'homme, de la culture et de la société), et l'utilisation de ces connaissances afin de concevoir de nouvelles applications.
Les statistiques d'Eurostat sur les dépenses de R&D sont élaborées selon les lignes directrices fixées dans le Manuel de Frascati (édition 2002) publié par l'OCDE. Elles couvrent les dépenses intra-muros, autrement dit toutes les dépenses de R&D effectuées dans les États membres de l'UE par les entreprises ou les institutions dans tous les secteurs de l'économie.
L'intensité de R&D d'un pays est définie comme le total des dépenses de R&D exprimé par million d'habitants. La principale analyse des statistiques sur la R&D repose sur quatre secteurs institutionnels d'exécution. Ces quatre secteurs sont le secteur des entreprises, le secteur des administrations publiques, le secteur de l'enseignement supérieur et le secteur des organisations privées à but non lucratif. Les données relatives aux dépenses prennent en compte la recherche effectuée sur le territoire national, quel que soit la provenance des fonds.","Les dépenses en R&D sont définies comme le total des dépenses de R&D exprimé par million d'habitants. La recherche et le développement, abrégée R&D, comprend les travaux de création entrepris sur une base systématique en vue d'accroître la somme des connaissances (y compris celles de l'homme, de la culture et de la société), et l'utilisation de ces connaissances afin de concevoir de nouvelles applications.
Les statistiques d'Eurostat sur les dépenses de R&D sont élaborées selon les lignes directrices fixées dans le Manuel de Frascati (édition 2002) publié par l'OCDE. Elles couvrent les dépenses intra-muros, autrement dit toutes les dépenses de R&D effectuées dans les États membres de l'UE par les entreprises ou les institutions dans tous les secteurs de l'économie.
La principale analyse des statistiques sur la R&D repose sur quatre secteurs institutionnels d'exécution. Ces quatre secteurs sont le secteur des entreprises, le secteur des administrations publiques, le secteur de l'enseignement supérieur et le secteur des organisations privées à but non lucratif. Les données relatives aux dépenses prennent en compte la recherche effectuée sur le territoire national, quel que soit la provenance des fonds.",
AGEMED,Indicateur,Structures démographiques,Age médian,Années,AGEMED,POP_AGE_T,(id1*id2)/id2,2016.0,"Eurostat
(Table demo_r_pjanind3)",2017-09-06,L’?âge médian est l?’âge qui divise la population en deux,L'âge médian est l'âge qui divise la population en deux : la moitié étant plus jeune et l’autre moitié plus âgée.,
JEUN,Indicateur,Structures démographiques,Moins de 25 ans,%,POP_LT25,POP_AGE_T,id1/id2*100,2016.0,"Eurostat
(Table demo_r_pjangrp3)",2017-09-08,"La part des moins de 25 ans exprime le ratio entre la population âgée de 0 à 24 ans et la population totale.
Eurostat collecte des données provenant des États membres de l’?Union européenne et d?autres pays participant à son opération de collecte de données démographiques sur la situation de la population au 1er janvier de chaque année. La définition recommandée est celle de la « population de résidents habituels », laquelle représente le nombre d?habitants d’?une zone donnée au 1er janvier de l?’année concernée (ou, dans certains cas, au 31 décembre de l?’année précédente).",La part des moins de 25 ans exprime le ratio entre la population âgée de 0 à 24 ans et la population totale.,
VIEU,Indicateur,Structures démographiques,Plus de 65 ans,%,POP_GE65,POP_AGE_T,id1/id2*100,2016.0,"Eurostat
(Table demo_r_pjangrp3)",2017-09-08,"La part des plus de 65 ans exprime le ratio entre la population âgée de 65 ans et plus et la population totale.
Eurostat collecte des données provenant des États membres de l’?Union européenne et d?autres pays participant à son opération de collecte de données démographiques sur la situation de la population au 1er janvier de chaque année. La définition recommandée est celle de la « population de résidents habituels », laquelle représente le nombre d?habitants d’?une zone donnée au 1er janvier de l?’année concernée (ou, dans certains cas, au 31 décembre de l?’année précédente).",La part des plus de 65 ans exprime le ratio entre la population âgée de 65 ans et plus et la population totale.,
ESPV,Indicateur,Structures démographiques,Espérance de vie,Années,ESPV,POP_AGE_T,(id1*id2)/id2,2015.0,"Eurostat
(Table demo_r_mlifexp)",2017-09-14,L'espérance de vie à la naissance (ou à l'âge 0) représente la durée de vie moyenne - autrement dit l'âge moyen au décès - d'une génération fictive soumise aux conditions de mortalité de l'année. Elle caractérise la mortalité indépendamment de la structure par âge.,L'espérance de vie à la naissance (ou à l'âge 0) représente la durée de vie moyenne - autrement dit l'âge moyen au décès - d'une génération fictive soumise aux conditions de mortalité de l'année. Elle caractérise la mortalité indépendamment de la structure par âge.,
