id,level,REGIOVIZ,DENS,POP,AREA,ZEMP,BV,EPCI,AU,TAU,UU,OLD_REG,REG,STOCK1,STOCK2,ratio1,STOCK3,STOCK4,ratio2,name
041,AU,1,131.38030459855094,248787,189364,0,0,0,1,0,0,Franche-Comté,Bourgogne-Franche-Comté,295,4697,15.922033898305084,175339,3426,51.17892586106246,Besançon
042,AU,1,161.5740245142643,241495,149464,0,0,0,1,0,0,Aquitaine,Nouvelle-Aquitaine,3642,2378,0.6529379461834157,187023,2399,77.95873280533556,Pau
043,AU,1,277.65947917333165,216977,78145,0,0,0,1,0,0,Bretagne,Bretagne,5022,11130,2.216248506571087,182340,11916,15.302114803625377,Lorient
044,AU,1,291.7806976623646,225173,77172,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,7227,7342,1.0159125501591255,146584,9836,14.90280601870679,Annecy
045,AU,1,267.7771402761332,219355,81917,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,4102,3864,0.9419795221843004,160452,1795,89.38830083565459,Chambéry
046,AU,1,240.53420282734442,215408,89554,0,0,0,1,0,0,Pays de la Loire,Pays de la Loire,7846,8076,1.0293143002803977,157512,9426,16.71037555697008,Saint-Nazaire
047,AU,1,206.78546746964162,209453,101290,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,6675,6246,0.9357303370786517,107837,2249,47.948866162738994,La Rochelle
048,AU,1,95.68687858843299,191324,199948,0,0,0,1,0,0,Champagne-Ardenne,Grand Est,3136,8612,2.746173469387755,90273,6094,14.813423039054808,Troyes
049,AU,1,114.24579953286285,181957,159268,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,4927,5225,1.0604830525674853,159249,9046,17.604355516250276,Angoulême
050,AU,1,243.70935311654995,175751,72115,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,2006,1749,0.8718843469591226,180593,6243,28.927278551978215,Valence
051,AU,1,210.2273561586843,171802,81722,0,0,0,1,0,0,Bretagne,Bretagne,2745,4520,1.6466302367941712,169610,5891,28.79137667628586,Saint-Brieuc
052,AU,1,203.88413263631082,161464,79194,0,0,0,1,0,0,Franche-Comté,Bourgogne-Franche-Comté,667,6870,10.299850074962519,137239,6845,20.049525200876552,Montbéliard
053,AU,1,237.71068403725485,168960,71078,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,3333,9140,2.742274227422742,112884,4365,25.861168384879726,Béziers
054,AU,1,111.8106124343613,154160,137876,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,4452,9394,2.110062893081761,157281,1819,86.46564046179219,Niort
055,AU,1,205.18279195098734,153052,74593,0,0,0,1,0,0,Bretagne,Bretagne,519,2274,4.381502890173411,130569,7586,17.21183759557079,Vannes
056,AU,1,122.575989060614,145217,118471,0,0,0,1,0,0,Centre,Centre-Val de Loire,5250,8692,1.6556190476190475,96468,10587,9.1119297251346,Chartres
057,AU,1,88.86910062333037,140718,158343,0,0,0,1,0,0,Centre,Centre-Val de Loire,4496,2435,0.5415925266903915,120468,9375,12.84992,Bourges
058,AU,1,329.9626587005228,132546,40170,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,334,2896,8.67065868263473,173809,11056,15.72078509406657,Boulogne-sur-Mer
059,AU,1,868.9265897059762,136239,15679,0,0,0,1,0,0,Lorraine,Grand Est,7268,6710,0.9232250963126032,126197,7254,17.39688447752964,Thionville
060,AU,1,128.74363782480577,134568,104524,0,0,0,1,0,0,Bourgogne,Bourgogne-Franche-Comté,7611,4249,0.5582709236631191,148893,5519,26.97825693060337,Chalon-sur-Saône
061,AU,1,326.7160195397089,129752,39714,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,5141,11114,2.161836218634507,159294,1630,97.72638036809816,Maubeuge (partie française)
062,AU,1,180.12503292163956,129944,72141,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,2570,11646,4.531517509727626,153159,1414,108.31612446958981,Arras
063,AU,1,359.41823542753457,126774,35272,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,2728,11756,4.309384164222874,185286,7157,25.888780215173956,Calais
064,AU,1,332.5895858110554,128639,38678,0,0,0,1,0,0,Alsace,Grand Est,620,8232,13.27741935483871,154464,5545,27.856447249774572,Colmar
065,AU,1,104.85614625337061,127158,121269,0,0,0,1,0,0,Centre,Centre-Val de Loire,659,10865,16.487101669195752,127952,7589,16.86019238371327,Blois
066,AU,1,208.42286205414698,126100,60502,0,0,0,1,0,0,Bretagne,Bretagne,724,9534,13.168508287292818,152238,9111,16.709252551860388,Quimper
067,AU,1,120.89672120174792,126435,104581,0,0,0,1,0,0,Picardie,Hauts-de-France,3165,2789,0.8812006319115324,119002,8470,14.049822904368359,Beauvais
068,AU,1,275.3673089168219,116764,42403,0,0,0,1,0,0,Basse-Normandie,Normandie,7782,6321,0.8122590593677718,158454,5774,27.442674056113614,Cherbourg-en-Cotentin
069,AU,1,123.088910927159,121634,98818,0,0,0,1,0,0,Pays de la Loire,Pays de la Loire,6636,9692,1.4605183845690175,137600,9889,13.914450399433715,Laval
070,AU,1,743.7401748097843,118277,15903,0,0,0,1,0,0,Picardie,Hauts-de-France,1235,11048,8.945748987854252,140146,5303,26.42768244389968,Creil
071,AU,1,113.07107522188274,124342,109968,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,7841,2578,0.328784593801811,160930,792,203.19444444444446,Bourg-en-Bresse
072,AU,1,180.06454429235134,115497,64142,0,0,0,1,0,0,Midi-Pyrénées,Occitanie,7103,6257,0.8808953963114177,167665,7128,23.52202581369248,Tarbes
073,AU,1,257.9862442214455,114404,44345,0,0,0,1,0,0,Franche-Comté,Bourgogne-Franche-Comté,2289,7059,3.083879423328965,169398,6512,26.013206388206388,Belfort
074,AU,1,136.71887515557802,110946,81149,0,0,0,1,0,0,Picardie,Hauts-de-France,4973,3308,0.6651920369997989,115256,9481,12.156523573462716,Saint-Quentin
075,AU,1,164.20741640665986,118942,72434,0,0,0,1,0,0,Pays de la Loire,Pays de la Loire,2768,10960,3.959537572254335,174610,699,249.7997138769671,La Roche-sur-Yon
076,AU,1,280.59383364726875,113214,40348,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,1830,2787,1.522950819672131,144804,2807,51.58674741717136,Vienne
077,AU,1,147.57607856984058,112847,76467,0,0,0,1,0,0,Haute-Normandie,Normandie,5483,6184,1.127849717308043,162265,12339,13.150579463489748,Évreux
078,AU,1,173.5422463470632,114137,65769,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,2328,5318,2.2843642611683848,123905,7629,16.24131603093459,Alès
079,AU,1,118.13849730839321,112801,95482,0,0,0,1,0,0,Midi-Pyrénées,Nouvelle-Aquitaine,4453,2888,0.6485515382887941,185415,5724,32.392557651991616,Agen
080,AU,1,109.85978165261034,106163,96635,0,0,0,1,0,0,Champagne-Ardenne,Grand Est,6747,11112,1.6469542018674967,172806,8455,20.43832052040213,Charleville-Mézières
081,AU,1,131.99610660029816,107132,81163,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,853,6841,8.019929660023447,140944,2752,51.21511627906977,Roanne
082,AU,1,623.397475180782,101726,16318,0,0,0,1,0,0,Lorraine,Grand Est,1698,9169,5.399882214369847,108991,2088,52.19875478927203,Sarrebruck (ALL) - Forbach (partie française)
083,AU,1,78.28404067712339,100768,128721,0,0,0,1,0,0,Bourgogne,Bourgogne-Franche-Comté,2024,5561,2.747529644268775,90348,7746,11.663826491092177,Nevers
084,AU,1,228.18511401232246,115181,50477,0,0,0,1,0,0,Pays de la Loire,Pays de la Loire,5310,4694,0.8839924670433145,103000,4437,23.213883254451204,Cholet
085,AU,1,137.6669114247641,101243,73542,0,0,0,1,0,0,Limousin,Nouvelle-Aquitaine,2544,2017,0.7928459119496856,98459,4546,21.658380994280687,Brive-la-Gaillarde
086,AU,1,134.50179651213742,107436,79877,0,0,0,1,0,0,Midi-Pyrénées,Occitanie,2385,9720,4.0754716981132075,159083,5361,29.67412796120127,Montauban
087,AU,1,110.06067220955988,102855,93453,0,0,0,1,0,0,Aquitaine,Nouvelle-Aquitaine,6229,4200,0.6742655321881522,105380,1479,71.25084516565246,Périgueux
088,AU,1,157.98814712614845,100768,63782,0,0,0,1,0,0,Bourgogne,Bourgogne-Franche-Comté,1145,8947,7.813973799126638,141273,8834,15.991962870726738,Mâcon
089,AU,1,227.5265124266122,98048,43093,0,0,0,1,0,0,Picardie,Hauts-de-France,1147,3007,2.6216216216216215,111072,756,146.9206349206349,Compiègne
090,AU,1,87.51481358330989,102647,117291,0,0,0,1,0,0,Corse,Corse,3508,11016,3.140250855188141,173555,12254,14.163130406397912,Ajaccio
091,AU,1,167.36515724556202,98240,58698,0,0,0,1,0,0,Midi-Pyrénées,Occitanie,6375,3198,0.5016470588235294,147949,7798,18.972685303924084,Albi
092,AU,1,118.53825564852546,98318,82942,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,1654,9256,5.596130592503023,157214,1817,86.52394056136488,Carcassonne
093,AU,1,61.91477889243182,93009,150221,0,0,0,1,0,0,Centre,Centre-Val de Loire,3066,2790,0.9099804305283757,184348,812,227.0295566502463,Châteauroux
094,AU,1,422.0907297830375,94160,22308,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,313,11786,37.65495207667732,153542,4469,34.357126874021034,Fréjus
095,AU,1,114.65723639206489,93863,81864,0,0,0,1,0,0,Lorraine,Grand Est,6570,7908,1.2036529680365298,132235,12086,10.941171603508192,Épinal
096,AU,1,97.2687067326379,92593,95193,0,0,0,1,0,0,Bourgogne,Bourgogne-Franche-Comté,6558,10910,1.663616956389143,167570,2662,62.94891059353869,Auxerre
097,AU,1,125.79746426552532,93465,74298,0,0,0,1,0,0,Corse,Corse,5967,6983,1.1702698173286408,130902,6945,18.848380129589632,Bastia
098,AU,1,189.42085879638998,93608,49418,0,0,0,1,0,0,Alsace,Grand Est,5543,1834,0.3308677611401768,153319,7741,19.806097403436247,Bâle (SUI) - Saint-Louis (partie française)
099,AU,1,213.3694883282245,90490,42410,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,6265,11759,1.8769353551476458,168472,11752,14.335602450646698,Saint-Omer
100,AU,1,253.80985045959665,92501,36445,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,1592,10319,6.48178391959799,127680,6494,19.66122574684324,Cluses
101,AU,1,172.94472172520955,91825,53095,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,6204,3094,0.49871050934880723,118822,7788,15.257062146892656,Narbonne
102,AU,1,554.6611710510365,91508,16498,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,1632,2411,1.477328431372549,98412,6462,15.229340761374187,Sète
103,AU,1,275.62451989552926,89702,32545,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,379,4874,12.860158311345646,157901,10511,15.02245266863286,Thonon-les-Bains
104,AU,1,79.90338164251207,85181,106605,0,0,0,1,0,0,Midi-Pyrénées,Occitanie,7651,8433,1.1022088615867207,95085,2298,41.37728459530026,Rodez
105,AU,1,141.09632552074626,84401,59818,0,0,0,1,0,0,Auvergne,Auvergne-Rhône-Alpes,736,2499,3.395380434782609,138067,6408,21.54603620474407,Vichy
106,AU,1,178.06306703074077,80862,45412,0,0,0,1,0,0,Haute-Normandie,Normandie,995,5032,5.057286432160804,118632,8988,13.198931909212282,Dieppe
107,AU,1,71.7381697336091,81166,113142,0,0,0,1,0,0,Champagne-Ardenne,Grand Est,3474,9236,2.658606793321819,105830,12162,8.701693800361783,Châlons-en-Champagne
108,AU,1,95.96777129266724,79088,82411,0,0,0,1,0,0,Auvergne,Auvergne-Rhône-Alpes,4723,7595,1.608088079610417,147319,2161,68.17167977788061,Montluçon
109,AU,1,93.29460068392099,81574,87437,0,0,0,1,0,0,Aquitaine,Nouvelle-Aquitaine,1414,8794,6.219236209335219,171666,11808,14.538109756097562,Bergerac
110,AU,1,168.12375530566675,83576,49711,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,3193,7603,2.381146257438146,170575,662,257.66616314199393,Draguignan
111,AU,1,480.7203907203907,78742,16380,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,5873,2650,0.45121743572279926,140247,12035,11.653261321146656,Armentières (partie française)
112,AU,1,388.34726341331896,72019,18545,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,6465,10545,1.631090487238979,172710,801,215.61797752808988,Menton - Monaco (partie française)
113,AU,1,349.15064492577267,71733,20545,0,0,0,1,0,0,Pays de la Loire,Bretagne,2957,1598,0.5404125803178897,140443,9596,14.635577323884952,Saint-Malo
114,AU,1,92.30693289236616,74800,81034,0,0,0,1,0,0,Auvergne,Auvergne-Rhône-Alpes,1022,3735,3.6545988258317026,101884,8917,11.425815857351127,Le Puy-en-Velay
115,AU,1,151.09108943627047,73116,48392,0,0,0,1,0,0,Lorraine,Grand Est,4674,9223,1.9732563115104835,146232,4091,35.74480567098509,Longwy (partie française)
116,AU,1,156.22227698373584,76074,48696,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,3602,4029,1.1185452526374235,166619,9022,18.46807803147861,Montélimar
117,AU,1,93.36166333766774,69645,74597,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,7844,11956,1.5242223355430902,89226,5858,15.231478320245818,Châtellerault
118,AU,1,187.8180889115994,73512,39140,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,7243,6649,0.9179897832389894,180478,5883,30.677885432602412,Romans-sur-Isère
119,AU,1,144.90165046348633,70499,48653,0,0,0,1,0,0,Centre,Centre-Val de Loire,278,5585,20.08992805755396,159809,2880,55.48923611111111,Montargis
120,AU,1,93.29626622259534,67790,72661,0,0,0,1,0,0,Basse-Normandie,Normandie,5206,11976,2.300422589320015,110443,6848,16.12777453271028,Alençon
121,AU,1,182.21102005607074,67593,37096,0,0,0,1,0,0,Midi-Pyrénées,Occitanie,3033,1923,0.6340257171117705,144999,10685,13.57033224145999,Castres
122,AU,1,68.70142990363692,70724,102944,0,0,0,1,0,0,Aquitaine,Nouvelle-Aquitaine,2941,9273,3.153009180550833,110278,5869,18.789913102743228,Mont-de-Marsan
123,AU,1,245.65722933815658,66551,27091,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,2232,10674,4.782258064516129,94515,11001,8.591491682574311,Cambrai
124,AU,1,90.24596645533622,65052,72083,0,0,0,1,0,0,Franche-Comté,Bourgogne-Franche-Comté,4561,6447,1.4135058101293576,127187,4329,29.38022638022638,Dole
125,AU,1,66.31673634607324,64877,97829,0,0,0,1,0,0,Auvergne,Auvergne-Rhône-Alpes,7115,5582,0.7845397048489108,113520,6890,16.476052249637156,Aurillac
126,AU,1,181.45238768013564,64216,35390,0,0,0,1,0,0,Bretagne,Bretagne,6833,4635,0.6783257719888776,111587,5907,18.890638225833758,Lannion
127,AU,1,151.5804015911202,63638,41983,0,0,0,1,0,0,Picardie,Hauts-de-France,6860,4687,0.6832361516034985,109886,1798,61.11568409343715,Soissons
128,AU,1,124.67505039838724,64937,52085,0,0,0,1,0,0,Aquitaine,Nouvelle-Aquitaine,997,1732,1.7372116349047142,182421,9050,20.157016574585636,Dax
129,AU,1,102.02857329671767,62417,61176,0,0,0,1,0,0,Bourgogne,Bourgogne-Franche-Comté,5924,7409,1.25067521944632,173047,7265,23.81927047487956,Sens
130,AU,1,54.72470896288171,61863,113044,0,0,0,1,0,0,Auvergne,Auvergne-Rhône-Alpes,5163,10277,1.9905093937633158,132811,9629,13.792813376259216,Moulins
131,AU,1,196.8753874767514,63512,32260,0,0,0,1,0,0,Aquitaine,Nouvelle-Aquitaine,3232,6105,1.8889232673267327,122030,12196,10.005739586749755,La Teste-de-Buch - Arcachon
132,AU,1,116.76253081347576,62524,53548,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,4874,1546,0.317193270414444,100177,2980,33.61644295302013,Saintes
133,AU,1,244.29763560500697,59721,24446,0,0,0,1,0,0,Alsace,Grand Est,5597,4262,0.7614793639449705,99795,1102,90.55807622504537,Haguenau
134,AU,1,207.9281329746879,60295,28998,0,0,0,1,0,0,Centre,Centre-Val de Loire,5318,7598,1.4287326062429484,137281,2368,57.973395270270274,Dreux
135,AU,1,57.95382623005093,59518,102699,0,0,0,1,0,0,Franche-Comté,Bourgogne-Franche-Comté,7790,6679,0.8573812580231065,153490,2407,63.76817615288741,Vesoul
136,AU,1,82.08959156785244,62306,75900,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,2360,2692,1.1406779661016948,153406,917,167.29116684841875,Gap
137,AU,1,188.36354084581035,57368,30456,0,0,0,1,0,0,Nord-Pas-de-Calais,Hauts-de-France,6395,4150,0.6489444878811571,161338,11970,13.478529657477026,Berck
138,AU,1,83.63421726987418,58094,69462,0,0,0,1,0,0,Franche-Comté,Bourgogne-Franche-Comté,2126,4085,1.9214487300094074,139577,10997,12.692279712648904,Lons-le-Saunier
139,AU,1,91.86943256213299,59920,65223,0,0,0,1,0,0,Rhône-Alpes,Auvergne-Rhône-Alpes,5878,7811,1.3288533514800953,106641,5385,19.803342618384402,Aubenas
140,AU,1,108.40722370109353,56607,52217,0,0,0,1,0,0,Midi-Pyrénées,Nouvelle-Aquitaine,7215,3843,0.5326403326403326,131268,1778,73.82902137232846,Villeneuve-sur-Lot
141,AU,1,69.63550040192926,55441,79616,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,7395,5658,0.7651115618661257,104629,11570,9.043128781331028,Arles
142,AU,1,176.3245448838669,56177,31860,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,382,5032,13.172774869109947,142854,2596,55.02850539291217,Rochefort
143,AU,1,421.3792120823538,59149,14037,0,0,0,1,0,0,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,3106,7495,2.413071474565357,172302,2844,60.58438818565401,Salon-de-Provence
144,AU,1,86.10929397686478,53969,62675,0,0,0,1,0,0,Champagne-Ardenne,Grand Est,2897,11742,4.053158439765275,174038,4461,39.01322573414033,Saint-Dizier
145,AU,1,108.75478562514542,51416,47277,0,0,0,1,0,0,Lorraine,Grand Est,7292,8663,1.1880142622051564,104332,9228,11.306025140875596,Saint-Dié-des-Vosges
146,AU,1,88.16720904485523,52560,59614,0,0,0,1,0,0,Picardie,Hauts-de-France,6997,7751,1.107760468772331,133634,12529,10.665974938143506,Laon
147,AU,1,146.74716265580994,52625,35861,0,0,0,1,0,0,Basse-Normandie,Normandie,5476,11311,2.0655588020452886,186849,5039,37.08057154197262,Saint-Lô
148,AU,1,319.1943851083308,52300,16385,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,4368,4076,0.9331501831501832,117405,12107,9.697282563806063,Saint-Cyprien
149,AU,1,302.2452830188679,48057,15900,0,0,0,1,0,0,Haute-Normandie,Normandie,6144,7156,1.1647135416666667,116986,4633,25.250593567882582,Louviers
150,AU,1,114.47447016940244,47911,41853,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,7874,1796,0.22809245618491236,125762,7383,17.0339970201815,Cognac
151,AU,1,186.77597712106768,48982,26225,0,0,0,1,0,0,Poitou-Charentes,Nouvelle-Aquitaine,1060,3606,3.40188679245283,175335,3095,56.65105008077544,Royan
152,AU,1,336.9225473321859,48938,14525,0,0,0,1,0,0,Pays de la Loire,Pays de la Loire,7776,7414,0.9534465020576132,112980,8659,13.047696038803556,Les Sables-d'Olonne
153,AU,1,375.5543661110261,49115,13078,0,0,0,1,0,0,Languedoc-Roussillon,Occitanie,5320,11410,2.1447368421052633,180399,10871,16.594517523686875,Lunel
154,AU,1,157.65507600908614,45113,28615,0,0,0,1,0,0,Bourgogne,Bourgogne-Franche-Comté,4083,7602,1.8618662747979426,153982,4629,33.26463599049471,Montceau-les-Mines
155,AU,1,120.92680211522404,43449,35930,0,0,0,1,0,0,Basse-Normandie,Normandie,3392,4548,1.340801886792453,138544,3917,35.36992596374777,Flers
156,AU,1,225.91777533259977,45170,19994,0,0,0,1,0,0,Lorraine,Grand Est,353,11703,33.15297450424929,94926,12514,7.585584145756752,Sarreguemines (partie française)
